starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 15 01:38:56 2021	1618450736	7	82	88	82
Thu Apr 15 01:38:56 2021	1618450736	7	82	89	82
Thu Apr 15 01:38:56 2021	1618450736	7	83	89	82
Thu Apr 15 01:38:56 2021	1618450736	7	83	90	83
Thu Apr 15 01:38:56 2021	1618450736	7	83	90	83
Thu Apr 15 01:38:56 2021	1618450736	7	83	90	83
Thu Apr 15 01:38:56 2021	1618450736	7	83	90	83
Thu Apr 15 01:38:56 2021	1618450736	7	84	90	83
Thu Apr 15 01:38:56 2021	1618450736	7	84	90	83
Thu Apr 15 01:38:56 2021	1618450736	7	84	91	84
Thu Apr 15 01:38:56 2021	1618450736	7	84	91	84
Thu Apr 15 01:38:56 2021	1618450736	7	85	92	84
Thu Apr 15 01:38:56 2021	1618450736	7	85	92	85
Thu Apr 15 01:38:56 2021	1618450736	7	85	92	85
Thu Apr 15 01:38:56 2021	1618450736	7	85	92	85
Thu Apr 15 01:38:56 2021	1618450736	7	85	92	85
Thu Apr 15 01:38:56 2021	1618450736	7	86	93	85
Thu Apr 15 01:38:56 2021	1618450736	7	86	93	86
Thu Apr 15 01:38:56 2021	1618450736	7	86	93	86
Thu Apr 15 01:38:56 2021	1618450736	7	87	93	86
Thu Apr 15 01:38:56 2021	1618450736	7	87	93	86
Thu Apr 15 01:38:56 2021	1618450736	7	87	94	87
Thu Apr 15 01:38:56 2021	1618450736	7	87	94	87
Thu Apr 15 01:38:56 2021	1618450736	7	88	94	87
Thu Apr 15 01:38:56 2021	1618450736	7	88	95	88
Thu Apr 15 01:38:56 2021	1618450736	7	88	95	88
Thu Apr 15 01:38:56 2021	1618450736	7	88	95	88
Thu Apr 15 01:38:56 2021	1618450736	7	88	95	88
Thu Apr 15 01:38:56 2021	1618450736	7	89	95	88
Thu Apr 15 01:38:56 2021	1618450736	7	89	96	89
Thu Apr 15 01:38:56 2021	1618450736	7	89	96	89
Thu Apr 15 01:38:56 2021	1618450736	7	90	96	89
Thu Apr 15 01:38:56 2021	1618450736	7	90	96	89
Thu Apr 15 01:38:56 2021	1618450736	7	90	96	89
Thu Apr 15 01:38:56 2021	1618450736	7	90	97	90
Thu Apr 15 01:38:56 2021	1618450736	7	90	97	90
Thu Apr 15 01:38:56 2021	1618450736	7	91	97	90
Thu Apr 15 01:38:56 2021	1618450736	7	91	97	90
Thu Apr 15 01:38:56 2021	1618450736	6	91	97	90
Thu Apr 15 01:38:56 2021	1618450736	6	92	98	91
Thu Apr 15 01:38:56 2021	1618450736	6	92	98	92
Thu Apr 15 01:38:56 2021	1618450736	6	92	98	92
Thu Apr 15 01:38:56 2021	1618450736	6	92	99	92
Thu Apr 15 01:38:56 2021	1618450736	6	93	99	92
Thu Apr 15 01:38:56 2021	1618450736	6	93	99	92
Thu Apr 15 01:38:56 2021	1618450736	6	93	99	92
Thu Apr 15 01:38:56 2021	1618450736	6	93	99	92
Thu Apr 15 01:38:56 2021	1618450736	6	93	100	93
Thu Apr 15 01:38:56 2021	1618450736	6	94	100	93
Thu Apr 15 01:38:56 2021	1618450736	6	95	101	94
Thu Apr 15 01:38:56 2021	1618450736	6	95	101	94
Thu Apr 15 01:38:56 2021	1618450736	6	95	101	94
Thu Apr 15 01:38:56 2021	1618450736	6	95	101	94
Thu Apr 15 01:38:56 2021	1618450736	6	95	102	94
Thu Apr 15 01:38:56 2021	1618450736	6	95	102	94
Thu Apr 15 01:38:56 2021	1618450736	6	96	102	95
Thu Apr 15 01:38:56 2021	1618450736	6	96	102	96
Thu Apr 15 01:38:56 2021	1618450736	6	97	103	96
Thu Apr 15 01:38:56 2021	1618450736	6	97	103	96
Thu Apr 15 01:38:56 2021	1618450736	6	97	103	97
Thu Apr 15 01:38:56 2021	1618450736	6	97	103	97
Thu Apr 15 01:38:56 2021	1618450736	6	97	104	97
